ZCODE;Oms OLA;GROUP
Z63567;WT - IoT Essentials;GTI TI 3WT-APP01
Z56487;Linux Essentials (EN);GTI ACS 1ACS01
Z62912;FPGA Development;GTI EI 2IOT01
Z56493;Switching, Routing and Wireless Essentia;GTI ACS 1ACS01
Z60918;React;GTI TI 3APP01
Z63569;WT - .NET Development;GTI TI 3WT-APP01
Z56492;Application Development in Java (EN);GTI ACS 1ACS01
Z63579;DevOps & Security (EN);GTI ACS 2ACS01
Z63570;WT - Business Processes & ITIL;GTI TI 3WT-APP01
Z62921;Enterprise Development Experience;GTI TI 3APP01
Z56833;Cloud & Edge IoT;GTI EI 3IOT01
Z63577;Linux Webservices (EN);GTI ACS 2ACS01
Z62915;Enterprise Networking, Security and Auto;GTI EI 2CCS01
Z56506;WT - Web Applications in PHP;GTI TI 2WT-APP01
Z62927;WT - Webdesign Essentials;GTI EI 1WT01
Z62929;WT - Webdesign Advanced;GTI EI 1WT01
Z62966;Sales & Marketing;STAR Track
